id,status,category,content_type,search_intent,main_keyword,expanded_keywords,title,quality_score,duplicate_status,cannibalization_status,max_existing_similarity,nearest_existing_title,decision_reason
1,pass,핏·착화감,blog,문제해결,러닝화 뒤꿈치 뜸,뒤꿈치 고정|레이스홀|장거리 붓기,"러닝화 뒤꿈치 뜸 불편할 때, 뒤꿈치 고정와 레이스홀 점검",93,unique,clear,0.31,정강이 통증이 잦을 때 러닝화 점검법,기존 일반 키워드를 상황·모델·행동 기준으로 분화
2,pass,핏·착화감,blog,문제해결,러닝화 발등 압박,발등 저림|러너스 루프|앞볼 압박,"러닝화 발등 압박 문제 신호, 발등 저림부터 러너스 루프까지",93,unique,clear,0.30,"러닝화 발볼 통증, 신발 문제인지 확인법",기존 일반 키워드를 상황·모델·행동 기준으로 분화
3,pass,핏·착화감,blog,문제해결,러닝화 앞코 여유,새끼발가락|장거리 붓기|토박스 공간,"러닝화 앞코 여유 안 맞는 이유, 새끼발가락·장거리 붓기 확인",95,unique,clear,0.39,새끼발가락이 쓸릴 때 러닝화 확인 순서,기존 일반 키워드를 상황·모델·행동 기준으로 분화
4,pass,핏·착화감,blog,문제해결,러닝화 토박스,레이스홀|앞볼 압박|뒤꿈치 고정,"러닝화 토박스 불편할 때, 레이스홀와 앞볼 압박 점검",93,unique,clear,0.56,"러닝화 뒤꿈치 뜸 불편할 때, 뒤꿈치 고정와 레이스홀 점검",기존 일반 키워드를 상황·모델·행동 기준으로 분화
5,pass,핏·착화감,blog,문제해결,러닝화 끈 묶기,러너스 루프|토박스 공간|발등 저림,"러닝화 끈 묶기 문제 신호, 러너스 루프부터 토박스 공간까지",93,unique,clear,0.59,"러닝화 발등 압박 문제 신호, 발등 저림부터 러너스 루프까지",기존 일반 키워드를 상황·모델·행동 기준으로 분화
6,pass,핏·착화감,blog,문제해결,러닝화 발가락 통증,장거리 붓기|뒤꿈치 고정|새끼발가락,"러닝화 발가락 통증 안 맞는 이유, 장거리 붓기·뒤꿈치 고정 확인",95,unique,clear,0.60,"러닝화 앞코 여유 안 맞는 이유, 새끼발가락·장거리 붓기 확인",기존 일반 키워드를 상황·모델·행동 기준으로 분화
7,pass,핏·착화감,blog,문제해결,러닝화 물집,앞볼 압박|발등 저림|레이스홀,"러닝화 물집 불편할 때, 앞볼 압박와 발등 저림 점검",93,unique,clear,0.56,"러닝화 토박스 불편할 때, 레이스홀와 앞볼 압박 점검",기존 일반 키워드를 상황·모델·행동 기준으로 분화
8,pass,핏·착화감,blog,문제해결,러닝화 갑피 압박,토박스 공간|새끼발가락|러너스 루프,"러닝화 갑피 압박 문제 신호, 토박스 공간부터 새끼발가락까지",93,unique,clear,0.53,"러닝화 끈 묶기 문제 신호, 러너스 루프부터 토박스 공간까지",기존 일반 키워드를 상황·모델·행동 기준으로 분화
9,pass,핏·착화감,blog,문제해결,러닝화 양말 두께,뒤꿈치 고정|레이스홀|장거리 붓기,"러닝화 양말 두께 안 맞는 이유, 뒤꿈치 고정·레이스홀 확인",95,unique,clear,0.47,"러닝화 발가락 통증 안 맞는 이유, 장거리 붓기·뒤꿈치 고정 확인",기존 일반 키워드를 상황·모델·행동 기준으로 분화
10,pass,핏·착화감,blog,문제해결,러닝화 뒤꿈치 뜸,새끼발가락|장거리 붓기|앞볼 압박,"러닝화 뒤꿈치 뜸 불편할 때, 새끼발가락와 장거리 붓기 점검",93,unique,clear,0.47,"러닝화 뒤꿈치 뜸 불편할 때, 뒤꿈치 고정와 레이스홀 점검",기존 일반 키워드를 상황·모델·행동 기준으로 분화
