id,status,category,content_type,search_intent,main_keyword,expanded_keywords,title,quality_score,duplicate_status,cannibalization_status
1,pass,러닝화 선택,blog,의사결정,러닝화 추천,"쿠셔닝|안정성|데일리|예산","러닝화 추천 기준, 쿠셔닝보다 먼저 볼 것",92,unique,clear
2,pass,러닝화 선택,blog,정보탐색,데일리 러닝화,"조깅|출퇴근|내구성|착화감","데일리 러닝화 고르는 법, 매일 신는 기준",91,unique,clear
3,pass,러닝화 선택,blog,의사결정,쿠션 러닝화,"장거리|무릎 부담|중창|회복주","쿠션 러닝화 추천 전 확인할 장단점",90,unique,clear
4,pass,러닝화 선택,blog,문제해결,가벼운 러닝화,"경량화|초보|5km|피로감","가벼운 러닝화가 맞는 사람과 피해야 할 사람",90,unique,clear
5,pass,발볼,blog,문제해결,발볼 러닝화,"와이드|2E|4E|앞코","발볼 러닝화 사이즈, 한 치수 크게 사도 될까",94,unique,clear
6,pass,발볼,blog,정보탐색,넓은 발 러닝화,"라스트|앞꿈치|물집|압박감","넓은 발 러닝화 선택법, 앞코와 라스트 기준",93,unique,clear
7,pass,발볼,blog,의사결정,와이드 러닝화,"뉴발란스|브룩스|호카|아식스","와이드 러닝화 브랜드별 핏 차이 비교",91,unique,clear
8,pass,발볼,blog,문제해결,발볼 통증,"러닝화 끼임|발등|물집|사이즈","러닝화 발볼 통증, 신발 문제인지 확인법",92,unique,clear
9,pass,평발,blog,정보탐색,평발 러닝화,"안정화|과내전|아치|인솔","평발 러닝화 선택 기준, 안정화가 전부일까",91,unique,clear
10,pass,평발,blog,문제해결,과내전 러닝화,"발목 꺾임|무릎 통증|지지력","과내전 러닝화 고르는 법, 뒤꿈치 안정성",90,unique,clear
11,pass,평발,blog,의사결정,평발 인솔,"러닝화|아치 서포트|통증|교정","평발 러너, 인솔과 안정화 중 무엇이 먼저일까",90,unique,clear
12,pass,평발,blog,정보탐색,안정화 러닝화,"데일리|장거리|초보|발목","안정화 러닝화가 필요한 발 모양 체크",89,unique,clear
